,month,dso,ar,sales_90d
0,2021-11,89.70668416615352,310407519,311422465
1,2021-12,85.15386609773276,739999948,782113583
2,2022-01,81.04430783402881,1311084806,1455964468
3,2022-02,83.47802908575885,1772331757,1910800481
4,2022-03,79.1870755049215,1899716831,2159121469
5,2022-04,84.5595722866793,2111906650,2247783348
6,2022-05,102.31642362313086,2131781617,1875166652
7,2022-06,123.85372718712182,2072225584,1505810982
8,2022-07,148.62972764021686,1986812031,1203077511
9,2022-08,167.96711743414434,2164642849,1159857116
10,2022-09,141.0864856724564,2134326470,1361500936
11,2022-10,127.49813737410507,2163808031,1527416218
